title,author,year,chooser,M,mean,std,b_mean,b_std,fog_index
The Three-Body Problem,Cixin Liu,2007,novel,9,3.111,1.024,3.105,1.019,
Consider Phlebas,Iain Banks,1987,novel,9,2.167,1.173,2.211,1.167,
The Sirens of Titan,Kurt Vonnegut,1959,novel,8,3.500,0.802,3.471,0.835,
The Handmaid's Tale,Margaret Atwood,1985,novel,11,3.345,0.795,3.330,0.818,
Lord of Light,Roger Zelazny,1967,novel,9,2.956,1.177,2.958,1.156,
Diaspora,Greg Egan,1997,novel,3,3.333,0.764,3.286,0.844,
Dark Air,Lincoln Michel,2015,Mark,2,3.000,1.414,3.000,1.183,
The Game of Smash and Recovery,Kelly Link,2015,Mark,3,2.667,0.289,2.714,0.625,
Smear,Brian Evenson,2016,Mark,3,1.967,0.058,2.114,0.686,
Ogres of East Africa,Sofia Samatar,2016,John,4,2.500,0.577,2.556,0.718,
The Snow Train,Ken Liu,2016,John,5,2.640,0.611,2.673,0.709,
Echo,Elizabeth Hand,2005,John,5,2.240,0.537,2.309,0.690,
The Library of Lost Things,Matthew Bright,2017,Nadine,4,2.450,0.881,2.511,0.920,
In the Greenwood,Mari Ness,2013,Nadine,4,1.750,0.289,1.889,0.689,
Sucks (to be You),Katharine Duckett,2018,Nadine,4,2.950,0.100,2.956,0.502,
Bulk Food,Peter Watts,2000,Ting,5,2.700,1.095,2.727,1.073,
The Great Silence,Ted Chiang,2016,Ting,5,1.900,0.742,2.000,0.859,
Swift as a Dream and Fleeting as a Sigh,John Barnes,2018,Stuart,3,3.000,0.000,3.000,0.567,
Princess Mine,Darby Harn,2018,Stuart,3,1.333,0.577,1.571,0.958,
When It Changed,Joanna Russ,1972,Don,4,3.250,0.500,3.222,0.659,
Gonna Roll the Bones,Fritz Leiber,1967,Don,4,2.875,0.946,2.889,0.950,
Aye and Gomorrah,Samuel Delaney,1967,Don,4,2.600,0.523,2.644,0.680,
The Minnesota Diet,Charlie Jane Anders,2018,Gary,4,2.425,0.723,2.489,0.815,
Mr. Thursday,Emily Mandel,2017,Gary,5,2.820,0.782,2.836,0.826,
Nothing to See Here,Arthur Doweyko,2017,Julia,5,2.160,0.503,2.236,0.678,
Anna and Marisol in Time and Space,Tim Pratt,2017,Julia,5,2.860,0.611,2.873,0.702,
Bridesicle,Will McIntosh,2009,Bill,6,3.167,0.650,3.154,0.718,
"Sun, Moon, Dust",Ursula Vernon,2017,Bill,6,2.967,0.258,2.969,0.469,
Among the Living,John Markley,2016,Roger,5,2.160,0.709,2.236,0.810,
Six Jobs,Tim Pratt,2016,Roger,5,3.060,0.261,3.055,0.501,
The Lady Who Sailed the Soul,Cordwainer Smith,1960,Roian,6,2.767,0.659,2.785,0.726,
The Screwfly Solution,Alice Sheldon,1977,Roian,6,3.200,0.335,3.185,0.510,
The Last Novelist or A Dead Lizard in the Yard,Matthew Kressel,2017,Steve,5,2.200,0.274,2.273,0.560,
Carnival Nine,Caroline Yoachim,2017,Steve,5,3.500,0.500,3.455,0.645,
Clearly Lettered in a Mostly Steady Hand,Fran Wilde,2017,John,5,2.140,0.893,2.218,0.944,
Polynia,China Mieville,2015,John,6,2.917,0.585,2.923,0.669,
The Lottery of Babylon,Jorge Borges,1941,John,5,3.400,0.894,3.364,0.917,
The Seventh Voyage,Stanislaw Lem,1957,Tam,6,3.200,0.600,3.185,0.682,
The Jeweled Nawab Jungle Retreat,Priya Sridhar,2016,Tam,6,2.783,0.722,2.800,0.774,
The Worshipful Society of Glovers,Mary Kowal,2017,Mark,5,3.060,0.627,3.055,0.712,
Evil Robot Monkey,Mary Kowal,2008,Mark,5,3.220,0.740,3.200,0.795,
Oceanic,Greg Egan,1998,Ting,6,3.500,0.465,3.462,0.602,
The Swimmer,John Cheever,1964,Gary,6,3.033,0.952,3.031,0.955,
A Good Man is Hard to Find,Flannery O'Connor,1953,Gary,5,2.860,0.789,2.873,0.830,
The Rocking-Horse Winner,DH Lawrence,1926,Gary,7,3.400,0.849,3.373,0.874,
This Big,James Hamilton,2018,Stuart,5,2.500,0.500,2.545,0.645,
More Tomorrow,Premee Mohamed,2018,Stuart,5,3.140,0.416,3.127,0.579,
Irregularity,Rachel Harrison,2018,Stuart,5,2.800,0.570,2.818,0.676,
Bodythoughts,Rahul Kanakia,2017,Don,8,2.750,0.463,2.765,0.560,
The Game of Rat and Dragon,Cordwainer Smith,1955,Don,8,2.688,0.843,2.706,0.864,
This is For You,Bruce McAllister,2017,Bill,7,2.514,0.932,2.547,0.946,
The Martian Obelisk,Linda Nagata,2017,Bill,7,2.843,0.995,2.853,0.992,
A Series of Steaks,Vina Prasad,2017,Bill,8,3.438,0.496,3.412,0.591,
Repo,Aaron Gallagher,2014,Roger,6,2.583,0.665,2.615,0.736,
Red Kelley Owns the Moon,Shaenon Garrity,2017,Roger,6,3.000,0.548,3.000,0.642,
Prasetyo Plastics,Xiaolin Spires,2017,Roger,5,1.700,0.447,1.818,0.711,
The Lincoln Train,Maureen McHugh,2005,Monet,8,2.575,1.352,2.600,1.313,
The Third Level,Jack Finney,1950,Monet,8,2.650,0.807,2.671,0.835,
Missed Connection,Anonymous,2013,Monet,9,3.756,0.873,3.716,0.903,
Ladies Night,Robert Dawson,2017,Roian,5,2.820,0.295,2.836,0.518,
A Very Good Year,Jack Haldeman,1984,Roian,5,2.600,0.822,2.636,0.862,
The Alchemist,HP Lovecraft,1908,John,6,2.083,0.665,2.154,0.770,
Facts Concerning the Late Arthur Jermyn and His Family,HP Lovecraft,1920,John,6,2.450,0.596,2.492,0.693,
The Rats in the Walls,HP Lovecraft,1923,John,6,2.800,0.890,2.815,0.906,
Spider the Artist,Nnedi Okorafor,2011,Nadine,6,2.767,0.792,2.785,0.828,
Day of the Builders,Kristine Muslim,2016,Nadine,6,1.833,0.753,1.923,0.858,
The Red Thread,Sofia Samatar,2016,Nadine,6,1.583,0.376,1.692,0.659,
Hyper Reality,Keiichi Matsuda,2016,Steve,5,2.400,1.517,2.455,1.429,
Keep Your Shape,Robert Sheckley,1953,Steve,5,2.820,0.581,2.836,0.682,
The Prize of Peril,Robert Sheckley,1958,Steve,5,3.480,0.614,3.436,0.717,
The Starship and the Temple Cat,Yoon-Ha Lee,2018,Tam,8,2.400,1.046,2.435,1.047,
The Fisher Queen,Alyssa Wong,2014,Tam,8,3.263,0.771,3.247,0.803,
Once I A Rose,AMerc Rustad,2016,Tam,8,2.350,1.011,2.388,1.019,
Coffee Wi-Fi and the Moon,Nikolas Katsimpras,2015,Mark,5,1.800,0.758,1.909,0.883,
ANTFARM,August Cole,2015,Mark,5,2.500,0.707,2.545,0.783,
Article 1 Section 8 Clause 11,Ken Liu,2015,Mark,6,2.800,0.438,2.815,0.571,
The Truth of Fact the Truth of Feeling,Ted Chiang,2013,Vijay,7,3.429,0.932,3.400,0.945,
A Brief and Inaccurate but True Account of the Origin of Living Books,Ken Liu,2016,Vijay,7,2.471,0.898,2.507,0.919,
Wonder of the World,Kathryn Blume,2016,Ting,4,1.875,1.031,2.000,1.078,
The Grandchild Paradox,Daniel Thron,2016,Ting,5,1.800,0.447,1.909,0.695,
Sunshine State,Adam Flynn,2016,Ting,4,2.500,0.577,2.556,0.718,
Cat Person,Kristen Roupenian,2017,Gary,8,3.250,1.195,3.235,1.170,
Christmas Wedding,Vylar Kaftan,2008,Stuart,5,1.680,0.798,1.800,0.925,
England Under the White Witch,Theodora Glass,2012,Stuart,8,3.063,0.593,3.059,0.656,
The Gift,Christie Yant,2017,Stuart,5,1.800,0.837,1.909,0.937,
The Deathbird,Harlan Ellison,1974,Gary,7,3.186,1.129,3.173,1.108,
The Last Flight of Doctor Ain,Alice Sheldon,1969,Gary,8,2.938,0.678,2.941,0.724,
