title,notes
Ladies Night,
A Very Good Year,
The Alchemist,Man learns of ancient family secrets: the phone call is coming from downstairs! He knows what your great^N grandfather did last summer!
Facts Concerning the Late Arthur Jermyn and His Family,Man learns of ancient family secrets: great-great-grandfather went (really) native and married beneath his social class!
The Rats in the Walls,"Man learns of ancient family secrets: there's a good reason the downstairs kitchen was never remodeled! Plus, cats can sense anscestral cannibalism."
Spider the Artist,Oil pipeline guard robot bonds with guitar-playing battered Nigerian woman
Day of the Builders,"Story of modern day, genericized colonialism: archeology begets sickness in a nameless tribal society"
The Red Thread,Teen traveling with her Mom in a free-roaming society tries to stay in touch with her friend
Hyper Reality,"Augmented reality plus gamefied gig economy, in all its first-person glory (video)"
Keep Your Shape,Shape-shifting alien invaders decide they'd rather be a tree. Or a dog. Or a bird.
The Prize of Peril,Startling prescient view of reality TV written before there was much TV
The Starship and the Temple Cat,"Actually, it's the starship and the ghost temple cat"
The Fisher Queen,Young woman tries to come to terms with her possibly piscine origins
Once I A Rose,"Rose, cursed by accident, has a hard life until re-finding true love"
Coffee Wi-Fi and the Moon,Rambling thought experiment on cyberwar following cyber assassination
ANTFARM,Crowdsourced target analysts disagree with weapons platform pilot on target selection
Article 1 Section 8 Clause 11,Letters of marque for hackers are not as fine a policy instrument as a senator believed
The Truth of Fact the Truth of Feeling,"Memory, fact, and emotion form an imperfect mix; is the advent of always-on life-blogging cameras that different from the advent of literacy?"
A Brief and Inaccurate but True Account of the Origin of Living Books,AI makes the book you're reading into your perfect book
Wonder of the World,Mom's brilliant son sends a message around the world and finds her a date
The Grandchild Paradox,Young boat-dwellers worry about what their time-travelling descendents might do to them
Sunshine State,"Floridians build a green city in the swamp, go to the Olympics, and save the day during a storm"
Cat Person,Detailed evidence of the operation of Murphy's Law in human relationships; if only it were a science fictional occurrence...
Christmas Wedding,Polyamorous lesbians in their RV after the Yellowstone megavolcano erupts
England Under the White Witch,Revolution begets cold begets regret
The Gift,Poor woodsman deals with red-suited Xmas bandit; reindeer steaks all around...
The Deathbird,"Harlan Ellison goes full Ellison: God is insane, and the Earth needs euthanizing"
The Last Flight of Doctor Ain,"Airplanes, germs, and your worst nightmare"
The Jewbird,Chatty ethnic bird is not appreciated by the whole family
Mary Margaret,"Culture shift in native tribes, with cars instead of horses"
Car Wars,"Software dooms us all (again); or, why you shouldn't obey the EULA on your car"
Auto-da-Fe,El mechador vs. the Chevy
Welcome to Your Authentic Indian Experience,"VR simulation of an authentic native experience is what you think, then it isn't, except it is"
Utopia LOL?,"OMG, Kit/dinaround and BFF corpsicle give humanity the stars! :)"
Fandom for Robots,"Robot collaborates on fanfic about robots, because you should write what you know"
The Janitor on Mars,Not really about janitors or Mars; author wants to be Vonnegut but fails badly
Absolutely Inflexible,"It seems like a time loop, but you'll just end up on the Moon with the rest of them"
A Cup of Salt Tears,Monster in a spa comforts woman with seriously ill husband
The Haunted Tower,Politician's mistress meets ghosts in the Tower of London who give her a history lesson on power and identity
Troll Bridge,Aging barbarian hero and henpecked bridge troll commiserate about the good old days
Dragons of Tomorrow,Civilization-destroying dragon tells wasteland teenager that she's different from the rest of humanity
Two Ways of Living,Extreme hibernator has a stalker; her dog has opinions; none of them are happy
The House of Half Mirrors,"Misanthrope and aos sidhe engage in ecological activism, end up helping each other"
Mind Partner,"Drug simulates reality, but the pusher isn't who you think"
Bullet in the Brain,Incessant critic finds not everyone is receptive to his insights
An Occurrence at Owl Creek Bridge,A Civil war saboteur is hanged and has a few thoughts about it later
The First Sally (A) or Trurl's Electronic Bard,"Electronic poet is so good, it's a weapon of mass destruction"
Trurl's Machine,A not-very-intelligent computer vigorously debates mathematics with its creator
How the World was Saved,Computer nearly negates nature
Captive Girl,Ender's Game meets 50 Shades of Grey
